Booking_ID,Ticket_Price,Distance_km,Flight_Duration_hr,Passenger_Age,Airline,Travel_Class,Departure_City,Payment_Method
FB1001,3015.91,12243.3,23.92,60,Q Airways,Business,Singapore,Credit Card
FB1002,416.23,1034.1,1.42,52,L Airlines,Economy,London,Cash
FB1003,2897.73,7842.7,12.66,59,E Airlines,Economy,Singapore,Cash
FB1004,4173.46,1987.1,2.22,38,B Airways,Business,Frankfurt,PayPal
FB1005,2500.49,14944.2,25.75,65,E Airlines,Business,London,Cash
FB1006,3625.42,9625.8,16.68,45,Q Airways,Economy,Singapore,PayPal
FB1007,3221.36,3252.1,6.37,34,E Airlines,Business,New York,Debit Card
FB1008,4981.57,819.7,1.05,68,L Airlines,First,Mumbai,PayPal
FB1009,257.87,12309.8,16.65,24,Air I,Business,London,Debit Card
FB1010,2928.65,13212.2,19.49,80,L Airlines,Economy,Paris,Cash
FB1011,2248.77,7638.6,10.53,21,B Airways,First,Dubai,Credit Card
FB1012,4861.22,7613.7,10.58,21,Air I,Business,London,Net Banking
FB1013,3392.3,9003,16.68,13,L Airlines,Economy,New York,Debit Card
FB1014,874.41,3231.6,3.81,77,B Airways,First,Frankfurt,UPI
FB1015,2644.07,7629.9,12.69,68,S Airlines,Economy,Dubai,UPI
FB1016,2658.08,254.4,0.44,61,L Airlines,First,Delhi,Debit Card
FB1017,2671.67,3129.7,3.69,56,S Airlines,Premium Economy,Singapore,Cash
FB1018,169.64,5552.9,8.69,55,E Airlines,Economy,Singapore,Credit Card
FB1019,482.3,3033.8,4.22,32,S Airlines,Premium Economy,New York,Net Banking
FB1020,616.04,7842.2,12.47,40,E Airlines,First,Dubai,Debit Card
FB1021,1317.24,4527.8,5.96,30,S Airlines,Premium Economy,Paris,Cash
FB1022,3344.41,9167.7,17.25,53,B Airways,Premium Economy,Mumbai,Debit Card
FB1023,2401.2,11150.7,16.06,35,S Airlines,Premium Economy,Mumbai,Cash
FB1024,415.33,10176.8,15.06,26,Q Airways,First,Dubai,Net Banking
FB1025,1666.47,8879.5,13.79,28,S Airlines,Premium Economy,Mumbai,UPI
FB1026,4426.98,9584.3,12.25,32,E Airlines,Premium Economy,Mumbai,Credit Card
FB1027,1794.5,4658,5.26,57,E Airlines,Economy,Singapore,Net Banking
FB1028,4895.35,13540.8,26.89,16,L Airlines,Premium Economy,Singapore,Debit Card
FB1029,190.97,1690.9,2.45,72,L Airlines,Economy,New York,PayPal
FB1030,3553.24,1948.7,2.95,70,E Airlines,Business,Dubai,Credit Card
FB1031,2675.26,6039.7,8.23,72,S Airlines,First,Singapore,Credit Card
